SN_EOR_FK,GEO_MARKER_NAME,TOP_MD
-166153,12100' Sand,13422.0
-113544,Top Miocene,
-113544,Top Salt Weld,
-113544,Base Salt Weld,
-113544,Middle Micoene Rob L,
-113544,Lower Micoene Gyro,
-113544,Lower Micoene Marg A,
-113544,Upper Oligocene Cris R,
-113544,PTD,
-113802,C-1 Sand,5710.0
-113802,C-3 Sand,5728.0
-113802,C-7 Sand,6280.0
-113802,C-9 Sand,
-114148,EF Sand,4912.0
-114148,Y-1 Sand,
-201346,EF Sand,4912.0
-113614,Tex W2,
-113614,Tex W6,15870.0
-133705,Tex W6,15870.0
-165894,Tex W6 Sand,15696.0
-170074,Tex W2,12454.0
-170074,Tex W4,13700.0
-192573,Tex W5B,14223.0
-170074,Tex WA,10630.0
-170074,Tex W5A,14054.0
-170074,Tex W5B,14223.0
-170074,Tex W6,15870.0
-192573,Tex W5A,14054.0
-192573,Tex W2,12454.0
-192573,Tex W4,13700.0
-192573,Tex W6,15670.0
-192573,Tex WA,10630.0
-114772,"11,200 Sand",
-114772,"11,400 Sand",
-114123,LN Sand,
-132153,MD Sand,12710.0
-113654,D-5 Sand,6238.0
-113654,D-8 Sand,6430.0
-113654,D-10 Sand,6594.0
-114494,D-10 Sand,8970.0
-114494,E-2 Sand,
-114470,Bul 17,12283.0
-114470,Bul 15,12063.0
-114470,Bul 18,12536.0
-114470,Cib R,12893.0
-114470,Cib R1,13530.0
-114470,Cib R1a,13849.0
-114470,Cib R2,14206.0
-110632,Bigenerina humblei,12750.0
-110632,Cibicides opima,13680.0
-110632,Robulus L,17070.0
-110632,Top Salt,
-110632,Base Salt,
-110632,Top Oligocene,19800.0
-110632,Top Eeocene,23600.0
-110632,Top Paleocene,25080.0
-110632,Top Upper Cretaceous,27810.0
-139364,Textularia W,11580.0
-139364,Top Upper Cretaceous,27810.0
-139364,Cibicides opima,13680.0
-139364,Robulus L,17070.0
-139364,Top Oligocene,19800.0
-139364,Top Eeocene,23600.0
-139364,Top Paleocene,25080.0
-139364,Bigenerina humblei,12750.0
-152612,Textularia W,11580.0
-114470,Cib R3,
-114470,Cib R4,
-114470,Tex X1,
-195598,KA F-2,9596.0
-195598,JP/JQ/JR F2B,9274.0
-117448,"Angulogernina ""B""",5252.0
-117448,"Buliminella ""I""",10582.0
-117448,"Cristellaria ""N""",8006.0
-114742,Marg A Sand,
-114733,N Sand,
-114698,Disc. 12 Sand,14570.0
-114575,7000' Sand,7081.0
-114575,7200' Sand,7255.0
-114575,7500' Sand,7455.0
-114575,7600' Sand,7762.0
-114505,6500' Sand,
-114505,Tex W,
-115141,G1 Sand,
-115141,G16 Sand,
-115141,H14 Sand,
-115141,H8 Sand,
-161750,TP-6 Sand,5252.0
-114927,Top Salt,10033.0
-114927,Base Salt,
-114927,Top Massive M7,
-114927,Top DD sand,
-114927,Base FF (M10SB),
-114809,M-8 Sand,12836.0
-115501,B65 Sand,11950.0
-115501,B5 Sand,11131.0
-115000,Big 2,8810.0
-115000,N Sand,8883.0
-115000,T-1 Sand,10660.0
-115000,Y Sand,11850.0
-115000,Z-1 Sand,11973.0
-115000,Amph B Marker,12660.0
-115000,Rob L-6,13435.0
-115000,Rob L-7,13670.0
-115000,Rob L-7.7,13990.0
-115000,Rob L-8,14145.0
