Reference,Number of ships involved,Ships involved,SOLAS status,Flag Administrations,Ship types,Occurrence date and time,Casualty event,Casualty severity,Coordinates,Place,Location,Number of investigation reports,Administrations submitting investigation reports
"C0002750","1","MARMARA (IMO 7615971)","MARMARA (IMO 7615971): ","Türkiye","Oil Tanker","1999-01-22 00:00","","Very serious marine casualty","","Off Gemlik, Near Imrali Island","","0",""
"C0002734","1","MANUELA CERVERA (IMO 9001992)","MANUELA CERVERA (IMO 9001992): ","Spain","Fish Catching","1999-01-21 00:00","","Very serious marine casualty","","South Atlantic Ocean","","0",""
"C0002740","1","ADRIATIC (IMO 7647900)","ADRIATIC (IMO 7647900): ","United States","Fish Catching","1999-01-19 00:00","","Very serious marine casualty","","Off Atlantic City, NJ","","0",""
"C0002446","1","CAROLINES (IMO 7394436)","CAROLINES (IMO 7394436): ","Panama","General Cargo","1999-01-17 00:00","","Very serious marine casualty","","North Pacific Ocean","","0",""
"C0002741","2","AROS NEWS (IMO 8506414), TROSKIEN VASTRA LIGHT","AROS NEWS (IMO 8506414): , TROSKIEN VASTRA LIGHT: ","Antigua and Barbuda, Unknown","General Cargo, ","1999-01-15 00:00","","Marine casualty","","Struck the remains of ship.","","0",""
"C0002742","2","ESTRELLA PAMPEANA (IMO 7908873), SEA PARANA","ESTRELLA PAMPEANA (IMO 7908873): , SEA PARANA: ","Liberia, Germany","Oil Tanker, Container","1999-01-15 00:00","","Marine casualty","","River Plate","","0",""
"C0002735","1","NAJIMA SEVEN","NAJIMA SEVEN: ","Honduras","General Cargo","1999-01-15 00:00","","Very serious marine casualty","","Off Kyuma Lighthouse, Okinawa prefecture","","0",""
"C0002736","1","SUNA (IMO 9080986)","SUNA (IMO 9080986): ","Russian Federation","General Cargo","1999-01-14 00:00","","Marine casualty","","North Sea","","0",""
"C0002582","1","AURORA AUSTRALIS (IMO 8717283)","AURORA AUSTRALIS (IMO 8717283): ","Australia","Research","1999-01-14 00:00","","Marine casualty","","off the coast of West Australia","","1","Unknown"
"C0003151","1","FISHER BANK (IMO 7232688)","FISHER BANK (IMO 7232688): ","France","Fish Catching","1999-01-14 00:00","","Marine casualty","","North Sea","","0",""
"C0003150","1","JUNO (IMO 7303700)","JUNO (IMO 7303700): ","United Kingdom","Fish Catching","1999-01-13 00:00","","Marine casualty","","North Atlantic Ocean","","0",""
"C0002745","2","HATEMI 8 (IMO 7926928), SUN ROSE (IMO 9107253)","HATEMI 8 (IMO 7926928): , SUN ROSE (IMO 9107253): ","Cyprus, Panama","Bulk Dry, General Cargo","1999-01-13 00:00","","Marine casualty","","Ganryujima Lighthouse","","0",""
"C0002339","1","KADO (IMO 5145025)","KADO (IMO 5145025): ","Sao Tome and Principe","General Cargo","1999-01-13 00:00","","Marine casualty","","Kumkapi, Istanbul","","0",""
"C0002746","1","MARIA HAMETNER (IMO 7510614)","MARIA HAMETNER (IMO 7510614): ","Denmark","Fish Catching","1999-01-12 00:00","","Marine casualty","","20 miles W of Bergen, North Sea","","0",""
"C0002743","1","ATHENIAN FIDELITY (IMO 8206935)","ATHENIAN FIDELITY (IMO 8206935): ","Cyprus","Oil Tanker","1999-01-11 00:00","","Marine casualty","","Caribbean Sea","","0",""
"C0002747","1","PARATUNKA (IMO 7733632)","PARATUNKA (IMO 7733632): ","Russian Federation","Fish Catching","1999-01-10 00:00","","Marine casualty","","Vilyuchinskaya Bay, Kamchatka","","0",""
"C0002753","1","SITUS","SITUS: ","Norway","Bulk Dry","1999-01-10 00:00","","Marine casualty","","Atlantic Ocean","","0",""
"C0002748","1","SEA VIXEN (IMO 7626231)","SEA VIXEN (IMO 7626231): ","United States","Towing / Pushing","1999-01-09 00:00","","Marine casualty","","Gulf of Alaska","","0",""
"C0002450","1","DUBA (IMO 5374896)","DUBA (IMO 5374896): ","Croatia","General Cargo","1999-01-09 00:00","","Marine casualty","","Zenta Marina, Split","","0",""
"C0002744","1","CAPE FEAR (IMO 8306266)","CAPE FEAR (IMO 8306266): ","United States","Fish Catching","1999-01-08 00:00","","Very serious marine casualty","","Near Buzzards Bay Light, Mass.","","0",""
"C0002759","1","NAWARA (IMO 5388536)","NAWARA (IMO 5388536): ","Equatorial Guinea","General Cargo","1999-01-06 00:00","","Marine casualty","","Off Crete, Mediterranean Sea","","0",""
"C0003149","1","AURORA (IMO 8811314)","AURORA (IMO 8811314): ","United Kingdom","Fish Catching","1999-01-06 00:00","","Very serious marine casualty","","60 nm NE of Fraserburgh","","1","United Kingdom"
"C0002756","1","GALATEA C (IMO 7422465)","GALATEA C (IMO 7422465): ","United Kingdom","Fish Catching","1999-01-05 00:00","","Very serious marine casualty","","North Sea","","1","United Kingdom"
"C0002422","1","ATHENIAN PRIDE (IMO 7376379)","ATHENIAN PRIDE (IMO 7376379): ","Cyprus","Oil Tanker","1999-01-05 00:00","","Marine casualty","","Off Khor Fakkan","","0",""
"C0002757","1","KAAKSBURG (IMO 8104527)","KAAKSBURG (IMO 8104527): ","Antigua and Barbuda","General Cargo","1999-01-03 00:00","","Marine casualty","","S of Figueira da Foz,  Atlantic Ocean","","0",""
"C0002760","1","NAVION VIKING (IMO 8111130)","NAVION VIKING (IMO 8111130): ","Norway","Oil Tanker","1999-01-02 00:00","","Marine casualty","","River Schelde","","0",""
"C0002124","1","CHIOS FIGHTER (IMO 7354917)","CHIOS FIGHTER (IMO 7354917): ","Panama","General Cargo","1998-12-31 00:00","","Very serious marine casualty","","Quita Sueno Bank","","0",""
"C0002125","1","ACONCAGUA (IMO 9160425)","ACONCAGUA (IMO 9160425): ","Liberia","Container","1998-12-30 00:00","","Marine casualty","","","","0",""
"C0002130","1","ATLANTICA (IMO 7615517)","ATLANTICA (IMO 7615517): ","Panama","General Cargo","1998-12-30 00:00","","Marine casualty","","North Atlantic Ocean, 600 miles SW of Azores","","0",""
"C0002131","1","BARENSO (IMO 7007083)","BARENSO (IMO 7007083): ","Norway","General Cargo","1998-12-30 00:00","","Marine casualty","","90 m. from Brest","","0",""
"C0002139","1","KAAN (IMO 6511843)","KAAN (IMO 6511843): ","Belize","Bulk Dry","1998-12-30 00:00","","Very serious marine casualty","","Off Sicily","","0",""
"C0002763","1","ULTRA AUSTRAL","ULTRA AUSTRAL: ","Cyprus","General Cargo","1998-12-30 00:00","","Marine casualty","","50 miles off Tripoli, Lybia","","0",""
