Reference,Number of ships involved,Ships involved,SOLAS status,Flag Administrations,Ship types,Occurrence date and time,Casualty event,Casualty severity,Coordinates,Place,Location,Number of investigation reports,Administrations submitting investigation reports
"C0002046","1","INSPIRATION (IMO 7207504)","INSPIRATION (IMO 7207504): ","Malta","General Cargo","1997-11-11 00:00","","Marine casualty","","Capo San Marco, Oristano","","0",""
"C0004314","1","GRIFFIN VENTURE (IMO 9052393)","GRIFFIN VENTURE (IMO 9052393): ","Australia","Oil Tanker","1997-11-10 00:00","","Marine casualty","","Barrow Island","","0",""
"C0001982","1","NANSA (IMO 7921291)","NANSA (IMO 7921291): ","Singapore","Oil Tanker","1997-11-08 00:00","","Marine casualty","","","","0",""
"C0001968","1","MEHMET ASLAN (IMO 8929408)","MEHMET ASLAN (IMO 8929408): ","Honduras","General Cargo","1997-11-07 00:00","","Very serious marine casualty","","Bourgas","","0",""
"C0001911","1","SHOGUN (IMO 7626542)","SHOGUN (IMO 7626542): ","Panama","Oil Tanker","1997-11-07 00:00","","Very serious marine casualty","","Rota Main Channel","","0",""
"C0003426","1","WILMA (IMO 8325535)","WILMA (IMO 8325535): ","Netherlands (Kingdom of)","General Cargo","1997-11-07 00:00","","Very serious marine casualty","","Caribbean sea","","0",""
"C0001790","1","ALANDIA BAY (IMO 7389118)","ALANDIA BAY (IMO 7389118): ","Bahamas","Oil Tanker","1997-11-06 00:00","","Very serious marine casualty","","Delaware Bay","","0",""
"C0001940","1","KURE (IMO 8520599)","KURE (IMO 8520599): ","Panama","Bulk Dry","1997-11-05 00:00","","Very serious marine casualty","","Humboldt Bay","","0",""
"C0002258","1","ATLANTIC ERIE (IMO 8016639)","ATLANTIC ERIE (IMO 8016639): ","Canada","Bulk Dry","1997-11-03 00:00","","Marine casualty","","Sydney, Nova Scotia","","0",""
"C0002177","1","WESTGARD (IMO 0      )","WESTGARD (IMO 0      ): ","Finland","General Cargo","1997-11-03 00:00","","Very serious marine casualty","","","","0",""
"C0004298","1","KERINCI (IMO 8209676)","KERINCI (IMO 8209676): ","Indonesia","Passenger","1997-11-02 00:00","","Marine casualty","","Padang","","0",""
"C0004327","1","HAN CHANG NO.5 (IMO 0      )","HAN CHANG NO.5 (IMO 0      ): ","Republic of Korea","Oil Tanker","1997-11-02 00:00","","Very serious marine casualty","","Ulsan","","0",""
"C0004252","1","DEBORA (IMO 6501537)","DEBORA (IMO 6501537): ","Sweden","General Cargo","1997-11-01 00:00","","Marine casualty","","0.36 nm NNE from Klaipeda N. pier head","","0",""
"C0002406","1","DEBORA (IMO 6501537)","DEBORA (IMO 6501537): ","Norway","General Cargo","1997-11-01 00:00","","Marine incident","","Klaipeda","","0",""
"C0004320","2","ERNEST H. DOSS (IMO 0      ), GUARDIAN (IMO 9006916)","ERNEST H. DOSS (IMO 0      ): , GUARDIAN (IMO 9006916): ","United States, Liberia","Oil Tanker, Oil Tanker","1997-10-31 16:34","","Marine casualty","30° 13.00' N 93° 15.00' W","Calcasieu River, United States","River","0",""
"C0004332","2","HUA KUN (IMO 7519012), QINGDAO EXPRESS (IMO 8322208)","HUA KUN (IMO 7519012): , QINGDAO EXPRESS (IMO 8322208): ","China, Cyprus","Bulk Dry, Container","1997-10-31 00:00","","Very serious marine casualty","","Busan","","0",""
"C0001789","1","AL MAHMOUD 2 (IMO 5427540)","AL MAHMOUD 2 (IMO 5427540): ","Syrian Arab Republic","General Cargo","1997-10-29 00:00","","Marine casualty","","Khios Island","","0",""
"C0001906","1","SERIFOS (IMO 6710011)","SERIFOS (IMO 6710011): ","Greece","Oil Tanker","1997-10-28 00:00","","Marine casualty","","Cape Pappas, Patras Gulf","","0",""
"C0001869","1","SAND KITE (IMO 7340588)","SAND KITE (IMO 7340588): ","United Kingdom","Dredging","1997-10-27 00:00","","Marine casualty","","Thames Barrier, United Kingdom","","1","United Kingdom"
"C0001811","1","ATLANTIC BLUE (IMO 7342615)","ATLANTIC BLUE (IMO 7342615): ","Panama","Oil Tanker","1997-10-27 00:00","","Very serious marine casualty","","Ulsan","","0",""
"C0004309","1","GIJON (IMO 8907034)","GIJON (IMO 8907034): ","Russian Federation","Other Fishing","1997-10-24 00:00","","Marine casualty","","Victoria","","0",""
"C0002167","1","VANESSA (IMO 8205321)","VANESSA (IMO 8205321): ","Bahamas","Refrigerated Cargo","1997-10-23 00:00","","Very serious marine casualty","","435 nm E. of St. John's, Newfoundland","","1","Bahamas"
"C0001960","2","DONG BANG NO. 103 (IMO 9150640), MARINE STAR M (IMO 7371434)","DONG BANG NO. 103 (IMO 9150640): , MARINE STAR M (IMO 7371434): ","China, Honduras",", General Cargo","1997-10-21 00:00","","Very serious marine casualty","","3.6 nm S.W. of Uido Island, off Mokpo","","0",""
"C0002051","1","ZAKARIA (IMO 5042807)","ZAKARIA (IMO 5042807): ","Syrian Arab Republic","General Cargo","1997-10-21 00:00","","Very serious marine casualty","","20 nm off Tartus, Syria","","0",""
"C0001818","1","BLACK SEA T (IMO 7000619)","BLACK SEA T (IMO 7000619): ","Saint Vincent and the Grenadines","General Cargo","1997-10-20 00:00","","Very serious marine casualty","","4 nm from Cape Mastikho, S.W.of Khios Island","","0",""
"C0001821","1","BLACK SEA T. (IMO 7000619)","BLACK SEA T. (IMO 7000619): ","Saint Vincent and the Grenadines","General Cargo","1997-10-19 00:00","","Very serious marine casualty","","","","0",""
"C0001924","1","JUNYO 1","JUNYO 1: ","Panama","Chemical Tanker","1997-10-19 00:00","","Marine casualty","","Ulsan","","0",""
"C0001822","1","BOLIVAR (IMO 7814357)","BOLIVAR (IMO 7814357): ","Cayman Islands (United Kingdom)","Refrigerated Cargo","1997-10-18 00:00","","Marine casualty","","500 nm off the coast of Scotland","","0",""
"C0001866","2","EVOIKOS (IMO 0      ), ORAPIN GLOBAL (IMO 7341001)","EVOIKOS (IMO 0      ): , ORAPIN GLOBAL (IMO 7341001): ","Cyprus, Thailand","Oil Tanker, Oil Tanker","1997-10-15 00:00","","Very serious marine casualty","","Singapore Strait","","0",""
"C0004303","1","FIDELE EXPRESS (IMO 5258456)","FIDELE EXPRESS (IMO 5258456): ","Belize","General Cargo","1997-10-14 00:00","","Marine casualty","","Miami Beach","","0",""
"C0007284","1","PINE TRUST (IMO 7908938)","PINE TRUST (IMO 7908938): ","Panama","","1997-10-13 11:13","","Marine casualty","","in Denham Channel,  Shark Bay","","1","Unknown"
"C0007505","1","ARKTIS GRACE (IMO 8619015)","ARKTIS GRACE (IMO 8619015): ","Denmark","","1997-10-12 21:45","","Very serious marine casualty","","Townsville","","2","Australia; Denmark"
"C0001827","1","CAPETAN TZANNIS (IMO 7108796)","CAPETAN TZANNIS (IMO 7108796): ","Panama","General Cargo","1997-10-12 00:00","","Very serious marine casualty","","Off Bayonne","","0",""
"C0002157","1","TOMISLAV GRAD (IMO 6404131)","TOMISLAV GRAD (IMO 6404131): ","Croatia","Oil Tanker","1997-10-08 00:00","","Very serious marine casualty","","Split","","0",""
"C0001876","1","PERMAISURI (IMO 7311135)","PERMAISURI (IMO 7311135): ","Indonesia","Oil Tanker","1997-10-06 00:00","","Marine casualty","","","","0",""
"C0007336","1","TOPAZ ACE (IMO 9077836)","TOPAZ ACE (IMO 9077836): ","Panama","","1997-10-04 22:45","","Very serious marine casualty","","New Westminster, British Columbia, Canada","","1","Unknown"
"C0001891","1","ROMANTICA (IMO 5030854)","ROMANTICA (IMO 5030854): ","Cyprus","Passenger","1997-10-04 00:00","","Very serious marine casualty","","60 nm off Limassol","","0",""
"C0001984","1","NEPTUNAS (IMO 0      )","NEPTUNAS (IMO 0      ): ","Lithuania","Refrigerated Cargo","1997-10-03 00:00","","Marine casualty","","Las Palmas","","0",""
"C0001839","2","ALLEGRA (IMO 0      ), CIBONEY (IMO 7631626)","ALLEGRA (IMO 0      ): , CIBONEY (IMO 7631626): ","Unknown, Saint Vincent and the Grenadines","Oil Tanker, General Cargo","1997-10-01 00:00","","Marine casualty","","English Channel","","0",""
"C0007504","1","ATLANTIS TWO (IMO 7933000)","ATLANTIS TWO (IMO 7933000): ","Cyprus","","1997-09-28 22:45","","Marine casualty","","Off Terminiation Island, Western Australia","","1","Australia"
"C0007270","1","NOL CRYSTAL (IMO 7814838)","NOL CRYSTAL (IMO 7814838): ","Singapore","","1997-09-26 07:28","","Marine incident","26° 56.30' S 153° 11.90' E","Moreton Bay, Queensland","","1","Unknown"
"C0001978","2","ICL VIKRAMAN (IMO 7616509), MOUNT I (IMO 0      )","ICL VIKRAMAN (IMO 7616509): , MOUNT I (IMO 0      ): ","India, Saint Vincent and the Grenadines","Bulk Dry, Bulk Dry","1997-09-26 00:00","","Marine casualty","","","","0",""
"C0002043","2","ICL VIKRAMAN (IMO 7616509), MOUNT I (IMO 6409686)","ICL VIKRAMAN (IMO 7616509): , MOUNT I (IMO 6409686): ","India, Honduras","Bulk Dry, Bulk Dry","1997-09-26 00:00","","Very serious marine casualty","","Off Port Dickson","","0",""
"C0001930","1","KANG (IMO 7217987)","KANG (IMO 7217987): ","Saint Vincent and the Grenadines","Container","1997-09-24 00:00","","Marine casualty","","Hong Kong, China","","0",""
"C0001845","1","CORRIENTE (IMO 8807167)","CORRIENTE (IMO 8807167): ","Hong Kong, China","Bulk Dry","1997-09-24 00:00","","Very serious marine casualty","","Okinotorishima","","1","China"
"C0001856","1","NILGIRI (IMO 7433933)","NILGIRI (IMO 7433933): ","Sri Lanka","Non-ship structures","1997-09-24 00:00","","Very serious marine casualty","","","","0",""
"C0002364","1","RAVEN ARROW (IMO 8011328)","RAVEN ARROW (IMO 8011328): ","Bahamas","Bulk Dry","1997-09-24 00:00","","Marine casualty","","Johnstone Strait, British Columbia","","1","Canada"
"C0001926","2","KAMOGAWA (IMO 9062702), SUNWIND (IMO 7710654)","KAMOGAWA (IMO 9062702): , SUNWIND (IMO 7710654): ","Panama, Saint Vincent and the Grenadines","Oil Tanker, General Cargo","1997-09-19 00:00","","Marine casualty","","20 nm off Port Kelang","","0",""
"C0002173","1","WASAN (IMO 0      )","WASAN (IMO 0      ): ","Democratic People's Republic of Korea","General Cargo","1997-09-16 00:00","","Marine casualty","","Off Shibushi","","0",""
"C0001878","1","PIONEER LOUISE (IMO 7379773)","PIONEER LOUISE (IMO 7379773): ","Liberia","Non-ship structures","1997-09-15 00:00","","Very serious marine casualty","","Off Fujairah Roads","","0",""
"C0004334","1","KLAIPEDA (IMO 8311895)","KLAIPEDA (IMO 8311895): ","Lithuania","Passenger/Ro-Ro Cargo","1997-09-14 00:00","","Marine casualty","","Klaipeda port","","0",""
"C0002045","1","INHARRIME (IMO 7363578)","INHARRIME (IMO 7363578): ","Mozambique","General Cargo","1997-09-12 00:00","","Very serious marine casualty","","Maputo","","0",""
"C0001868","1","RISVAER (IMO 7369027)","RISVAER (IMO 7369027): ","Norway","General Cargo","1997-09-09 00:00","","Marine casualty","","Bjoraavaeret","","0",""
"C0001942","1","LA FIERTE GONAVIENNE (IMO 0      )","LA FIERTE GONAVIENNE (IMO 0      ): ","Haiti","Passenger","1997-09-08 00:00","","Very serious marine casualty","","","","0",""
"C0001920","1","SPYROS (IMO 6905862)","SPYROS (IMO 6905862): ","Panama","General Cargo","1997-09-07 00:00","","Very serious marine casualty","","Off Isla de Pinos","","0",""
"C0001859","1","NORTH ISLANDS (IMO 8500991)","NORTH ISLANDS (IMO 8500991): ","Cyprus","General Cargo","1997-09-07 00:00","","Marine casualty","","Off San Antonio","","0",""
"C0001799","1","ANTWERPIA (IMO 8800315)","ANTWERPIA (IMO 8800315): ","Liberia","Bulk Dry","1997-09-06 10:18","","Marine casualty","","Suez Canal","Canal","0",""
"C0002176","1","WESTERN (IMO 7209370)","WESTERN (IMO 7209370): ","Saint Vincent and the Grenadines","Bulk Dry","1997-09-05 00:00","","Very serious marine casualty","","30 nm E of Gibraltar","","0",""
"C0001929","1","MANULANI (IMO 7002071)","MANULANI (IMO 7002071): ","United States","Container","1997-08-30 00:00","","Marine casualty","","Seattle","","0",""
"C0001976","1","MONTE CARLO (IMO 5153400)","MONTE CARLO (IMO 5153400): ","Cyprus","Non-ship structures","1997-08-30 00:00","","Very serious marine casualty","","Voyage from Bodrum to Antalya","","0",""
"C0001952","1","LIBERTA (IMO 5377197)","LIBERTA (IMO 5377197): ","Honduras","General Cargo","1997-08-28 00:00","","Very serious marine casualty","","Off Mallorca, Mediterranean Sea","","0",""
"C0004310","1","GINO (IMO 6924143)","GINO (IMO 6924143): ","Qatar","General Cargo","1997-08-28 00:00","","Very serious marine casualty","","100 nm N. of la Coruna","","0",""
"C0004289","1","EAGLE TIDE (IMO 0      )","EAGLE TIDE (IMO 0      ): ","Panama","Container","1997-08-26 00:00","","Marine casualty","","South China Sea","","0",""
"C0001977","1","MOON TIDE (IMO 7517870)","MOON TIDE (IMO 7517870): ","United States","Towing / Pushing","1997-08-26 00:00","","Very serious marine casualty","","","","0",""
"C0001971","1","MERIDIAN (IMO 6915037)","MERIDIAN (IMO 6915037): ","Thailand","General Cargo","1997-08-26 00:00","","Very serious marine casualty","","","","0",""
"C0006947","1","HOLGER (IMO 9122227)","HOLGER (IMO 9122227): ","Antigua and Barbuda","","1997-08-24 03:30","","Marine casualty","","Between Dublin, Irland and Cork, Irland","","1","Unknown"
"C0001812","1","AZTECA IX (IMO 0      )","AZTECA IX (IMO 0      ): ","Mexico","General Cargo","1997-08-24 00:00","","Very serious marine casualty","","Mazatlan, Mexico","","1","Mexico"
"C0007234","1","GOLIATH (IMO 9036430)","GOLIATH (IMO 9036430): ","Australia","","1997-08-23 22:02","","Marine casualty","","Devonport, Tasmania","","1","Australia"
"C0004294","1","ESPERANZA III (IMO 7433232)","ESPERANZA III (IMO 7433232): ","Panama","General Cargo","1997-08-22 00:00","","Marine casualty","","Prong Reefs, Colaba","","0",""
"C0001871","2","KUMANO MARU NO. 81 (IMO 0      ), PACDUKE (IMO 7374620)","KUMANO MARU NO. 81 (IMO 0      ): , PACDUKE (IMO 7374620): ","Japan, Liberia","Fish Catching, Bulk Dry","1997-08-21 00:00","","Marine casualty","","55 km S.E. of Akkeshi Light, Hokkaido Pref.","","1","Unknown"
"C0001803","1","ANATOLI I (IMO 7430216)","ANATOLI I (IMO 7430216): ","Panama","General Cargo","1997-08-19 00:00","","Very serious marine casualty","","460 km of Kagoshima","","0",""
"C0001800","1","APOSTOLOS P. (IMO 8329907)","APOSTOLOS P. (IMO 8329907): ","Greece","Passenger","1997-08-18 00:00","","Marine casualty","","Aegina","","0",""
"C0004313","1","GOODEAST (IMO 7412587)","GOODEAST (IMO 7412587): ","Panama","Bulk Dry","1997-08-17 00:00","","Marine casualty","","","","0",""
"C0004287","1","DONGJIN SKY (IMO 7355571)","DONGJIN SKY (IMO 7355571): ","Republic of Korea","General Cargo","1997-08-09 00:00","","Marine casualty","","Busan","","0",""
"C0008458","1","MING MERCY","MING MERCY: ","Unknown","Bulk Dry","1997-08-07 10:30","","Marine casualty","","Off Port Kembla, NSW","","1","Australia"
"C0003468","1","NAVIMAR V","NAVIMAR V: ","Canada","Non-ship structures","1997-08-07 00:00","","Marine incident","","Port of Québec","","1","Canada"
"C0001947","1","MBASHI (IMO 7416856)","MBASHI (IMO 7416856): ","Bahamas","Container","1997-08-07 00:00","","Marine casualty","","Durban","","0",""
"C0004329","1","HARALD JARL (IMO 5142657)","HARALD JARL (IMO 5142657): ","Norway","Passenger","1997-08-06 00:00","","Marine casualty","","Near Rorvik","","0",""
"C0001950","1","LEON (IMO 7211622)","LEON (IMO 7211622): ","Panama","Bulk Dry","1997-08-05 00:00","","Marine casualty","","240 nm N of Djibouti","","0",""
"C0001899","2","NEW SUCCESS (IMO 8313269), SARABAND (IMO 0      )","NEW SUCCESS (IMO 8313269): , SARABAND (IMO 0      ): ","Panama, Cyprus","Bulk Dry, Oil Tanker","1997-08-03 00:00","","Very serious marine casualty","","","","0",""
"C0002172","1","VISHVA NANDINI (IMO 7617852)","VISHVA NANDINI (IMO 7617852): ","India","General Cargo","1997-08-01 00:00","","Very serious marine casualty","","Struck submerged wreck at Mumbai, India","","0",""
"C0001903","1","SEA EMPRESS (IMO 7006534)","SEA EMPRESS (IMO 7006534): ","Saint Vincent and the Grenadines","General Cargo","1997-07-31 00:00","","Very serious marine casualty","","5 nm off Mandwa","","0",""
"C0004317","1","GOODWILL (IMO 9037745)","GOODWILL (IMO 9037745): ","Panama","Bulk Dry","1997-07-31 00:00","","Marine casualty","","Muirfield Seamount","","1","Panama"
"C0001958","2","APOLLO OSHIMA (IMO 0      ), MAERSK TACOMA (IMO 7909425)","APOLLO OSHIMA (IMO 0      ): , MAERSK TACOMA (IMO 7909425): ","Panama, Panama","Oil Tanker, Container","1997-07-28 00:00","","Marine casualty","","Off Singapore","","0",""
"C0002154","1","THOR EMILIE (IMO 7431674)","THOR EMILIE (IMO 7431674): ","Denmark","General Cargo","1997-07-27 00:00","","Marine casualty","","27 nm SW Hvide Sande","","0",""
"C0001809","1","ASKANIA NOVA (IMO 8227795)","ASKANIA NOVA (IMO 8227795): ","Liberia","Bulk Dry","1997-07-26 20:10","","Marine casualty","37° 18.31' S 51° 57.89' E","","Open sea","0",""
"C0001816","1","BIANCA N (IMO 6709828)","BIANCA N (IMO 6709828): ","Honduras","General Cargo","1997-07-26 00:00","","Very serious marine casualty","","","","0",""
"C0001898","2","SANG THAI LUMBER (IMO 7352256), SVYATITEL INNOKENTIY (IMO 7811056)","SANG THAI LUMBER (IMO 7352256): , SVYATITEL INNOKENTIY (IMO 7811056): ","Thailand, Russian Federation","General Cargo, ","1997-07-26 00:00","","Marine casualty","","","","0",""
"C0001913","1","SINDHU-7 (IMO 8322571)","SINDHU-7 (IMO 8322571): ","India","Towing / Pushing","1997-07-25 00:00","","Very serious marine casualty","","Mumbai Harbour","","0",""
"C0004306","1","FORTUNA REEFER (IMO 7908770)","FORTUNA REEFER (IMO 7908770): ","Panama","Refrigerated Cargo","1997-07-24 00:00","","Marine casualty","","Mona Island","","0",""
"C0002041","1","IBIS (IMO 6510617)","IBIS (IMO 6510617): ","Antigua and Barbuda","General Cargo","1997-07-23 00:00","","Very serious marine casualty","","Off Kenitra","","1","Antigua and Barbuda"
"C0002170","1","VERTEX (IMO 7602508)","VERTEX (IMO 7602508): ","Thailand","General Cargo","1997-07-21 00:00","","Marine casualty","","70 nm off Chumphon Province, Thailand","","0",""
"C0004288","1","EAGLE DAWN (IMO 0      )","EAGLE DAWN (IMO 0      ): ","Cyprus","Container","1997-07-21 00:00","","Marine casualty","","Off Somalia","","0",""
"C0002274","1","PETROLAB (IMO 5106691)","PETROLAB (IMO 5106691): ","Canada","Non-ship structures","1997-07-19 00:00","","Very serious marine casualty","","St. Barbe, Newfoundland","","1","Canada"
"C0001836","1","COMET (IMO 7503087)","COMET (IMO 7503087): ","Greece","General Cargo","1997-07-17 00:00","","Marine casualty","","180 nm S.E. of Crete","","0",""
"C0002158","2","OINOUSSIAN NAVIGATOR (IMO 8412118), TOP WISDOM (IMO 9149380)","OINOUSSIAN NAVIGATOR (IMO 8412118): , TOP WISDOM (IMO 9149380): ","Greece, Liberia","Bulk Dry, Bulk Dry","1997-07-16 00:00","","Marine casualty","","Busan","","0",""
"C0002159","1","TOREPO (IMO 7326128)","TOREPO (IMO 7326128): ","Malta","Oil Tanker","1997-07-14 00:00","","Marine casualty","","Strait of Magellan","","0",""
"C0004328","1","HANSEATIC (IMO 9000168)","HANSEATIC (IMO 9000168): ","Bahamas","Passenger","1997-07-14 00:00","","Marine casualty","","Hinlopen fjord, Spitzbergen","","0",""
"C0001912","2","IBN QUTAIBAH (IMO 7428964), SIBIRSKIY 2125 (IMO 0      )","IBN QUTAIBAH (IMO 7428964): , SIBIRSKIY 2125 (IMO 0      ): ","Saudi Arabia, Russian Federation",", General Cargo","1997-07-11 00:00","","Marine casualty","","Shuwaikh port","","0",""
"C0001817","2","BIFUKU MARU (IMO 8631582), SHOWA MARU (IMO 5324243)","BIFUKU MARU (IMO 8631582): , SHOWA MARU (IMO 5324243): ","Japan, Japan","General Cargo, ","1997-07-11 00:00","","Marine casualty","","","","0",""
"C0001798","1","ANAFI (IMO 7391343)","ANAFI (IMO 7391343): ","Malta","Bulk Dry","1997-07-08 00:00","","Marine casualty","","Piraeus Roads","","0",""
"C0001796","1","AMRITA (IMO 6805892)","AMRITA (IMO 6805892): ","Ukraine","General Cargo","1997-07-07 00:00","","Very serious marine casualty","","Off Sinop","","0",""
"C0002050","2","KOYO MARU (IMO 0      ), YUSHIN MARU NO. 6 (IMO 8520707)","KOYO MARU (IMO 0      ): , YUSHIN MARU NO. 6 (IMO 8520707): ","Unknown, Japan","Oil Tanker, General Cargo","1997-07-07 00:00","","Marine casualty","","","","0",""
"C0004299","1","EURO CLIPPER (IMO 0      )","EURO CLIPPER (IMO 0      ): ","Antigua and Barbuda","General Cargo","1997-07-07 00:00","","Marine casualty","","Off Cherbourg, Channel","","0",""
"C0004333","2","IKUTA MARU (IMO 8905414), SUN QUEEN'S (IMO 0      )","IKUTA MARU (IMO 8905414): , SUN QUEEN'S (IMO 0      ): ","Japan, Unknown","General Cargo, ","1997-07-06 00:00","","Marine casualty","","Of Kamagowa, Chiba, Japan","","0",""
"C0002042","1","ICE FERN (IMO 8818972)","ICE FERN (IMO 8818972): ","Cayman Islands (United Kingdom)","Refrigerated Cargo","1997-07-06 00:00","","Marine casualty","","Strait of Magellan","","0",""
"C0001881","1","PROOF SPIRIT (IMO 0      )","PROOF SPIRIT (IMO 0      ): ","Netherlands (Kingdom of)","Chemical Tanker","1997-07-03 00:00","","Very serious marine casualty","","Valencia","","0",""
"C0002178","2","KOREX KWANGYANG (IMO 9150638), WOO YANG PRINCE (IMO 7010573)","KOREX KWANGYANG (IMO 9150638): , WOO YANG PRINCE (IMO 7010573): ","Republic of Korea, Republic of Korea","General Cargo, General Cargo","1997-06-29 00:00","","Marine casualty","","Off Wooido Island","","0",""
"C0002151","1","TAKASAGO MARU NO. 2 (IMO 7926992)","TAKASAGO MARU NO. 2 (IMO 7926992): ","Japan","Non-ship structures","1997-06-26 00:00","","Marine casualty","","Off Haneda, Tokyo Bay","","0",""
"C0002044","1","INGA B. (IMO 6500911)","INGA B. (IMO 6500911): ","Saint Vincent and the Grenadines","General Cargo","1997-06-25 00:00","","Marine casualty","","","","0",""
"C0002166","1","VANADIS (IMO 8902412)","VANADIS (IMO 8902412): ","Sweden","Oil Tanker","1997-06-21 00:00","","Marine casualty","","Off Durban","","0",""
"C0001807","1","ARCADIA PRIDE (IMO 7328982)","ARCADIA PRIDE (IMO 7328982): ","India","General Cargo","1997-06-19 00:00","","Very serious marine casualty","","7 nm W. of Prongs Reef Light, Mumbai","","0",""
"C0004319","1","GREEN OPAL (IMO 7602778)","GREEN OPAL (IMO 7602778): ","Panama","General Cargo","1997-06-19 00:00","","Very serious marine casualty","","Birlapur, Hugli River","","0",""
"C0004308","1","GANDASULI (IMO 7521871)","GANDASULI (IMO 7521871): ","Indonesia","General Cargo","1997-06-15 00:00","","Very serious marine casualty","","Off Masalembu Besar Island","","0",""
"C0004316","1","LINTIN (IMO 6921256)","LINTIN (IMO 6921256): ","Saint Vincent and the Grenadines","General Cargo","1997-06-14 00:00","","Marine casualty","","Helsingborg","","0",""
"C0001825","1","CALARASI (IMO 7413426)","CALARASI (IMO 7413426): ","Romania","General Cargo","1997-06-13 00:00","","Very serious marine casualty","","10 nm of Port St. Johns","","0",""
"C0001894","2","KEITEN (IMO 9147019), RYUSEI MARU (IMO 8626367)","KEITEN (IMO 9147019): , RYUSEI MARU (IMO 8626367): ","Japan, Japan",", General Cargo","1997-06-12 00:00","","Marine casualty","","4 miles off Tomokomai, Hokkaido Pref., Japan","","0",""
"C0001896","1","SADKO (IMO 7347079)","SADKO (IMO 7347079): ","Malta","Chemical Tanker","1997-06-10 00:00","","Marine casualty","","Martin Garcia Chanel, Montevideo","","0",""
"C0001892","1","ROVIRANI (IMO 0      )","ROVIRANI (IMO 0      ): ","Romania","Bulk Dry","1997-06-10 00:00","","Marine casualty","","Constantza","","0",""
"C0001954","2","DOLPHIN COURAGE (IMO 0      ), LODESTAR QUEEN (IMO 8920139)","DOLPHIN COURAGE (IMO 0      ): , LODESTAR QUEEN (IMO 8920139): ","Panama, Panama","Container, Chemical Tanker","1997-06-04 00:00","","Marine casualty","","Off western Ko Jima light beacon","","0",""
"C0002162","1","TOWING WITCH (IMO 6501795)","TOWING WITCH (IMO 6501795): ","Saint Vincent and the Grenadines","Towing / Pushing","1997-06-04 00:00","","Marine casualty","","","","0",""
"C0001846","1","DA QUING 243 (IMO 0      )","DA QUING 243 (IMO 0      ): ","China","Oil Tanker","1997-06-04 00:00","","Very serious marine casualty","","Nanjing","","0",""
"C0006286","1","ARKLOW VENTURE","ARKLOW VENTURE: ","Ireland","","1997-06-03 03:00","","Very serious marine casualty","","Irwell Park wharf, Eccles","","1","Ireland"
"C0004335","1","LASS URANUS (IMO 9030498)","LASS URANUS (IMO 9030498): ","Germany","General Cargo","1997-06-01 00:00","","Marine casualty","","Kiel Holtenau","","0",""
"C0004290","1","ELISA D'ALESIO (IMO 7230654)","ELISA D'ALESIO (IMO 7230654): ","Italy","Oil Tanker","1997-05-25 00:00","","Marine casualty","","5 nm from Arbatax, Sardinia","","0",""
"C0001972","1","MES I (IMO 7106138)","MES I (IMO 7106138): ","Honduras","Oil Tanker","1997-05-25 00:00","","Very serious marine casualty","","","","0",""
"C0004300","1","EXPRESS KARISTOS (IMO 7121516)","EXPRESS KARISTOS (IMO 7121516): ","Greece","Passenger","1997-05-23 00:00","","Marine casualty","","Rafina","","0",""
"C0001933","1","KATYA V (IMO 7349948)","KATYA V (IMO 7349948): ","Cyprus","Bulk Dry","1997-05-22 00:00","","Marine casualty","","Of Zante Island","","0",""
"C0002155","1","THORDIS (IMO 8126044)","THORDIS (IMO 8126044): ","Panama","Refrigerated Cargo","1997-05-21 00:00","","Marine casualty","","","","0",""
"C0007296","1","SIGGEN II (IMO 7525607)","SIGGEN II (IMO 7525607): ","Tuvalu","General Cargo","1997-05-20 21:12","","Very serious marine casualty","","Western Arm of Shoreham Harbour, Sussex","","1","Unknown"
"C0001820","1","CAPTAIN P. (IMO 0      )","CAPTAIN P. (IMO 0      ): ","Liberia","Container","1997-05-20 00:00","","Marine casualty","","Boulogne","","0",""
"C0001819","1","BUZIAS","BUZIAS: ","Unknown","","1997-05-19 00:00","","Marine casualty","","Langeland","","0",""
"C0001879","2","PILEFS (IMO 7224095), PIONER ROSSII (IMO 7620316)","PILEFS (IMO 7224095): , PIONER ROSSII (IMO 7620316): ","Cyprus, Russian Federation","Bulk Dry, General Cargo","1997-05-19 00:00","","Marine casualty","","Chittagong Roads","","0",""
"C0001852","2","MUSASHINO MARU (IMO 9005601), TENREI MARU NO. 25 (IMO 8604462)","MUSASHINO MARU (IMO 9005601): , TENREI MARU NO. 25 (IMO 8604462): ","Japan, Japan",", General Cargo","1997-05-16 00:00","","Marine casualty","","2 nm off Shionomisaki Lighthouse, Wakayama Pref.","","0",""
"C0001791","1","ALBATROS (IMO 5347245)","ALBATROS (IMO 5347245): ","Bahamas","Passenger","1997-05-16 00:00","","Marine casualty","","St. Mary's, Scilly Islands","","1","Bahamas"
"C0002049","2","JANG YUNG LOTUS (IMO 8717752), LUCKY STAR (IMO 7101592)","JANG YUNG LOTUS (IMO 8717752): , LUCKY STAR (IMO 7101592): ","Republic of Korea, Liberia","General Cargo, ","1997-05-14 00:00","","Very serious marine casualty","","Off Pusan, Republic of Korea","","0",""
"C0001917","1","SOFIA (IMO 8806163)","SOFIA (IMO 8806163): ","Finland","General Cargo","1997-05-12 00:00","","Marine casualty","","Off Helsingborg","","0",""
