summary_nr,report_id,event_date,event_time,event_desc,event_keyword,const_end_use,build_stories,nonbuild_ht,project_cost,project_type,sic_list,fatality,state_flag,abstract_text,load_dt
14401467,626300,1988-09-07 00:00:00,,Eight employees injured in flash fire,"BURN,FLAMMABLE VAPORS,WORK RULES,FIRE,AUTOMOBILE,OIL WELL SERVICING,UNTRAINED",,,,,,1389,,,,2019-07-22 00:18:28 EDT
14401509,636900,1988-11-30 00:00:00,,"One killed, one injured when struck by falling pipe","FRACTURE,HEAD,DERRICKMAN,WORK RULES,THUMB,EQUIPMENT FAILURE,OIL WELL SERVICING,PIPE,CONCUSSION,FALLING OBJECT",,,,,,1389,X,,,2019-07-22 00:18:28 EDT
14401970,626000,1987-02-17 00:00:00,,Employee killed in rig floor collapse,"HEAD,COLLAPSE,UNSECURED,EQUIPMENT FAILURE,FALL,OIL WELL SERVICING,OIL RIG",,,,,,1389,X,,,2019-07-22 00:18:28 EDT
14402044,626000,1985-12-13 00:00:00,,Employee killed in 138 ft fall from drilling rig,"HEAD,WORK RULES,LANYARD,FALL,FALL PROTECTION,OIL WELL SERVICING,ENTANGLED,LOST BALANCE,TIE-OFF",,,,,,1381,X,,,2019-07-22 00:18:28 EDT
14402093,626000,1985-11-14 00:00:00,,Employee dies of asphyxia after inhaling methane,"ASPHYXIATED,PPE,OIL WELL DRILLING,INHALATION,NATURAL GAS,STORAGE TANK,CHEMICAL VAPOR,POISONING,TOXIC FUMES,CHEMICAL",,,,,,1311,X,,,2019-07-22 00:18:28 EDT
14402358,626000,1987-10-13 00:00:00,,Employee killed by falling nut on oil drilling rig,"UNSECURED,OIL WELL DRILLING,STRUCK BY,FALLING OBJECT,OIL RIG",,,,,,1381,X,,,2019-07-22 00:18:28 EDT
14402390,626000,1988-07-15 00:00:00,,Employee killed when struck by toppling derrick,"DERRICK,GERONIMO LINE,UNSECURED,WORK RULES,OIL WELL SERVICING,PIPE,STRUCK BY,CONCUSSION,OIL RIG",,,,,,1389,X,,,2019-07-22 00:18:28 EDT
14402457,626000,1988-07-21 00:00:00,,Employee killed when struck by pipe,"UNSECURED,WORK RULES,EQUIPMENT FAILURE,HIGH PRESSURE PIPE,HIGH PRESSURE,PIPELINE,OIL WELL SERVICING,PIPE,STRUCK BY",,,,,,1389,X,,,2019-07-22 00:18:28 EDT
14402531,626000,1988-12-09 00:00:00,,ELECTRIC SHOCK - CONTACT WITH OVERHEAD LINE THRU BOOM,"OVERHEAD POWER LINE,ELECTRICAL,E GI IA,DRILL RIG--NON-OIL,ELECTRIC SHOCK,BOOM,ELECTROCUTED",,,,,,"1381,4911",X,,,2019-07-22 00:18:28 EDT
14402556,626000,1989-01-07 00:00:00,,Employee killed when struck by poles,"CHEST,UNSECURED,WORK RULES,LOCKOUT,INDUSTRIAL TRUCK,OIL WELL SERVICING,STRUCK BY,WINCH",,,,,,1389,X,,,2019-07-22 00:18:28 EDT
14402614,626000,1988-02-05 10:30:00,,OIL SERVICE RIG WORKER KILLED WHEN HE FELL INTO DRAWWORKS,"WIRE ROPE,BROKEN CABLE,CAUGHT BY,DRAWWORKS,FALL,OIL WELL SERVICING,DECAPITATED,OIL RIG,UNGUARDED",,,,,,1381,X,,,2019-07-22 00:18:28 EDT
14402663,626000,1987-12-28 00:00:00,,Employee killed when struck by pipe,"FRACTURE,UNSECURED,WORK RULES,PIPELINE,PIPE,STRUCK BY",,,,,,1389,X,,,2019-07-22 00:18:28 EDT
14402671,626000,1989-01-24 00:00:00,,ELECTRIC SHOCK - GROUND FAULT IN PANELBOARD,"ELECTRICAL,E GI VII,ELECTROCUTED,PANELBOARD,LIGHTNING,GROUND FAULT,EQUIPMENT GROUNDING,SYSTEM GROUNDING",,,,,,1389,X,,,2019-07-22 00:18:28 EDT
14402713,626000,1989-06-02 00:00:00,,ELECTRIC SHOCK - CONTACT WITH ENERGIZED PARTS,"ELECTRIC MOTOR,ELECTRICAL,E GI VII,ELECTROCUTED,OIL WELL SERVICING",,,,,,1311,X,,,2019-07-22 00:18:28 EDT
14402762,626000,1995-11-03 19:00:00,,Employee killed in fall from pipe racking board,"DERRICKMAN,DRILLING MUD,FIRE,NATURAL GAS,EXPLOSION,HIGH PRESSURE,FALL,GAS WELL DRILLING",,,,,,1381,X,,,2019-07-22 00:18:28 EDT
14402853,626000,1990-05-08 00:00:00,,Three employees hospitalized after oil well blowout,"WORK RULES,FIRE,LIGHTING FIXTURE,OIL WELL DRILLING,BLOWOUT--OIL WELL",,,,,,1381,,,,2019-07-22 00:18:28 EDT
14402879,626000,1991-02-15 00:00:00,,Employee killed when crushed between beam and truck,"FRACTURE,WORK RULES,LOCKOUT,BACK,CAUGHT BETWEEN,OIL WELL SERVICING,UNMANNED,WINCH,MECH MALFUNCTION",,,,,,1389,X,,,2019-07-22 00:18:28 EDT
14402895,626000,1990-10-25 00:00:00,,Employee killed when struck by counterweight of pumping unit,"HEAD,COUNTERBALANCE,OIL WELL SERVICING,STRUCK BY,PUMPING STATION",,,,,,1389,X,,,2019-07-22 00:18:28 EDT
14402911,626000,1991-07-09 00:00:00,,ELECTRIC SHOCK - CONTACT WITH OVERHEAD LINE THRU BOOM,"OVERHEAD POWER LINE,ELECTRICAL,BOOM,CRANE BOOM,ELECTROCUTED,E GI IA,CRANE",,,,,,1389,X,,,2019-07-22 00:18:28 EDT
14402994,626000,1991-10-16 00:00:00,,Employee dies in fall when mast collapses,"DERRICK,DERRICKMAN,COLLAPSE,GERONIMO LINE,DRILL RIG--NON-OIL,FALL,GAS WELL DRILLING",,,,,,1389,X,,,2019-07-22 00:18:28 EDT
14403075,626000,1992-11-05 02:00:00,,Employee killed when struck by rotary hose connection,"HEAD,OIL WELL DRILLING,STRUCK BY,FALLING OBJECT",,,,,,1381,X,,,2019-07-22 00:18:28 EDT
14403257,626000,1995-01-06 07:00:00,,Employee dies when struck by pressure,"EQUIPMENT FAILURE,TEST EQUIPMENT,BLOWOUT--OIL WELL,GAS WELL DRILLING,REPAIR,OIL WELL DRILLING,HIGH PRESSURE,STRUCK BY,COMMUNICATION,PRESSURE RELEASE",,,,,,"1381,1389",X,,,2019-07-22 00:18:28 EDT
14403273,626000,1995-04-28 10:00:00,,Employee dies in fall from standpipe arm,"STANDPIPE,PIPE WRENCH,PIPE,GAS WELL DRILLING,LOST BALANCE,OIL WELL DRILLING,FALL",,,,,,"1381,1389",X,,,2019-07-22 00:18:28 EDT
