LEASE_NAME,SURF_LEASE_NUM,WATER_DEPTH,API_WELL_NUMBER,WELL_NAME,WELL_SPUD_DATE,TOTAL_DEPTH_DATE,DRILLING_DAYS,COMPLETION_DAYS,MAX_BH_TOTAL_MD,MAX_WELL_BORE_TVD,MAX_DRILL_FLUID_WGT
Big Foot,G16942,5190,608124002003,002,03/23/2006,04/27/2006,35,38,25750.0,24433.0,17.0
Big Foot,G16942,5190,608124002004,002,06/03/2006,06/10/2006,7,21,23270.0,22500.0,17.0
Big Foot,G16942,5190,608124002005,002,11/25/2008,01/02/2009,38,30,23677.0,22111.0,16.8
Big Foot,G16942,5190,608124002300,003,11/03/2006,10/07/2007,92,14,22145.0,22144.0,16.8
Big Foot,G16942,5190,608124002301,003,10/15/2007,11/18/2007,34,21,25300.0,25287.0,16.5
Big Foot,G16942,5190,608124002302,003,12/04/2007,01/14/2008,41,22,25133.0,23878.0,16.8
Big Foot,G16942,5190,608124006200,A001,04/03/2012,08/07/2012,126,265,24660.0,23187.0,16.4
Big Foot,G16942,5190,608124006302,A002,07/11/2024,07/24/2024,13,168,22263.0,21830.0,14.0
Big Foot,G16942,5190,608124006300,A002,,,0,0,,,
Big Foot,G16942,5190,608124006301,A002,,,0,0,,,
Big Foot,G16942,5190,608124006404,A003,05/06/2025,06/03/2025,28,123,25704.0,22850.0,16.0
Big Foot,G16942,5190,608124006400,A003,,,0,0,,,
Big Foot,G16942,5190,608124006401,A003,,,0,0,,,
Big Foot,G16942,5190,608124006402,A003,,,0,0,,,
Big Foot,G16942,5190,608124006403,A003,,,0,0,,,
Big Foot,G16942,5190,608124006000,A004,12/10/2011,02/24/2012,76,138,22445.0,22241.0,16.0
Big Foot,G16942,5190,608124006001,A004,03/10/2019,03/25/2019,15,156,22511.0,22253.0,16.4
Big Foot,G16942,5190,608124006500,A005,05/23/2012,04/16/2023,63,86,26114.0,24961.0,17.0
Big Foot,G16942,5190,608124006600,A006,04/12/2012,11/28/2019,112,38,20956.0,19547.0,17.0
Big Foot,G16942,5190,608124006601,A006,01/04/2020,01/04/2020,0,22,19684.0,18466.0,17.0
Big Foot,G16942,5190,608124006602,A006,01/19/2020,01/30/2020,11,17,21236.0,19752.0,17.0
Big Foot,G16942,5190,608124006603,A006,02/12/2020,03/01/2020,18,259,23006.0,21395.0,16.4
Big Foot,G16942,5190,608124006700,A007,05/17/2012,10/24/2022,98,102,29120.0,25448.0,17.0
Big Foot,G16942,5190,608124006800,A008,01/22/2013,12/02/2021,118,210,24322.0,21801.0,17.0
Big Foot,G16942,5190,608124006900,A009,,,0,0,,,
Big Foot,G16942,5190,608124007000,A010,,,0,0,,,
Big Foot,G16942,5190,608124007100,A011,04/13/2012,01/16/2021,66,22,24379.0,22592.0,17.0
Big Foot,G16942,5190,608124007101,A011,02/05/2021,02/12/2021,7,16,24017.0,22548.0,15.0
Big Foot,G16942,5190,608124007102,A011,02/21/2021,05/22/2021,90,129,23919.0,22424.0,14.0
Big Foot,G16942,5190,608124007103,A011,09/18/2023,10/02/2023,14,69,24540.0,22969.0,13.6
Big Foot,G16942,5190,608124005900,A012,,,0,0,,,
Big Foot,G16942,5190,608124007200,A013,,,0,0,,,
Big Foot,G16942,5190,608124007300,A014,,,0,0,,,
Big Foot,G16942,5190,608124007400,A015,,,0,0,,,
Buckskin,G25823,6800,608084001600,001,09/03/2008,11/25/2008,83,5,28404.0,28403.0,16.5
Buckskin,G25823,6800,608084001601,001,11/26/2008,01/20/2009,55,16,29404.0,29402.0,16.5
Buckskin,G25806,6800,608084002100,001,05/16/2011,09/13/2011,120,45,28000.0,27999.0,16.9
Buckskin,G25814,6800,608084003100,001,03/26/2013,08/26/2013,153,20,11579.0,11579.0,17.0
Buckskin,G25814,6800,608084003101,001,09/10/2013,10/10/2013,30,31,17520.0,17519.0,17.0
Buckskin,G25814,6800,608084003102,001,11/06/2013,11/25/2013,19,41,19292.0,19287.0,17.2
Buckskin,G25814,6800,608084003103,001,12/31/2013,01/06/2014,6,27,20458.0,20451.0,17.0
Buckskin,G25814,6800,608084003104,001,01/30/2014,02/08/2014,9,43,19637.0,19630.0,17.0
Buckskin,G25814,6800,608084003105,001,03/21/2014,05/15/2014,55,52,29415.0,28483.0,17.0
Buckskin,G25814,6800,608084003106,001,07/02/2014,09/09/2014,69,36,29387.0,28283.0,16.6
Buckskin,G25814,6800,608084006700,001,09/20/2021,09/29/2021,9,4,13073.0,13066.0,16.6
Buckskin,G25814,6800,608084006701,001,10/01/2021,10/23/2021,22,64,21900.0,21895.0,16.6
Buckskin,G25823,6800,608084007700,001,,,0,0,,,
Buckskin,G25806,6800,608084004700,002,09/02/2014,10/22/2014,50,11,13610.0,13610.0,16.0
Buckskin,G25806,6800,608084004701,002,10/27/2014,12/13/2014,47,8,20562.0,20386.0,16.4
Buckskin,G25814,6800,608084006000,002,01/20/2018,03/14/2018,53,11,27690.0,27039.0,16.6
Buckskin,G32650,6800,608084007000,002,10/18/2022,11/25/2022,38,14,29632.0,28782.0,16.6
Buckskin,G25814,6800,608084006100,003,01/21/2018,05/24/2018,123,10,26313.0,24342.0,16.6
Buckskin,G25823,6800,608084007701,003,,,0,0,,,
Buckskin,G25806,6800,608084007300,004,07/28/2023,09/03/2023,37,7,19992.0,19988.0,16.6
Buckskin,G25814,6800,608084006702,SS001,12/22/2021,01/13/2022,22,107,28586.0,28100.0,16.6
Buckskin,G25814,6800,608084006001,SS002,03/22/2018,03/28/2018,6,159,29320.0,26488.0,16.4
Buckskin,G25814,6800,608084006101,SS003,05/31/2018,06/03/2018,3,175,28800.0,26698.0,16.4
Buckskin,G25806,6800,608084007301,SS004,09/04/2023,10/08/2023,34,127,28725.0,26749.0,16.4
Buckskin,G25806,6800,608084007200,SS005,,,0,0,,,
Cascade,G16965,8200,608124000800,001,01/31/2002,04/14/2002,73,9,26710.0,26685.0,
Cascade,G16965,8200,608124000801,001,04/23/2002,05/16/2002,23,22,27929.0,27908.0,
Cascade,G16965,8200,608124001600,002,03/19/2005,05/29/2005,71,140,30213.0,28000.0,14.5
Cascade,G16965,8200,608124001601,002,10/09/2005,11/24/2005,46,60,28565.0,26575.0,16.8
Cascade,G16965,8200,608124004700,004,11/25/2009,03/28/2012,176,18,19400.0,19348.0,16.4
Cascade,G16965,8200,608124008200,005,12/18/2012,12/21/2012,3,9,11967.0,11967.0,16.4
