﻿OccNo,OccID,VesselID,VesselName,XrfOccVesselVictimCountID,ManuallyEnteredStatsIND,VictimMissing,VictimMinorInjuries,VictimSeriousInjuries,VictimDeath,TotalVesselInjuries,TotalPeopleInWater,PeopleInWaterWearingLSE,PeopleInWaterLseTypeID,PeopleInWaterLseTypeDisplayEng,PeopleInWaterLseTypeDisplayFre,PeopleInWaterNoLSE,PeopleInWaterDontKnowLSE
"M24C0059",51986,,"ASHORE/RIVAGE",19723,0,0,0,0,0,0,0,0,,,,0,0
"M24P0087",51985,6237,"NORTHERN CHALLENGE",19728,0,0,0,0,0,0,0,0,,,,0,0
"M24P0087",51985,,"ASHORE/RIVAGE",19727,0,0,0,0,0,0,0,0,,,,0,0
"M24P0086",51984,25295,"SARI INDAH",19726,0,0,0,0,0,0,0,0,,,,0,0
"M24P0086",51984,,"ASHORE/RIVAGE",19725,0,0,0,0,0,0,0,0,,,,0,0
"M24A0100",51983,30784,"SUE AND MYOTT",19751,0,0,0,0,0,0,0,0,,,,0,0
"M24A0100",51983,,"ASHORE/RIVAGE",19750,0,0,0,0,0,0,0,0,,,,0,0
"M24A0099",51982,15329,"MAKIN'WAVES I",19738,0,0,0,0,0,0,0,0,,,,0,0
"M24A0099",51982,,"ASHORE/RIVAGE",19737,0,0,0,0,0,0,0,0,,,,0,0
"M24A0098",51981,26425,"SHOAL TICKLE PROVIDER",19740,0,0,0,0,0,0,0,0,,,,0,0
"M24A0098",51981,,"ASHORE/RIVAGE",19739,0,0,0,0,0,0,0,0,,,,0,0
"M24A0097",51980,30776,"ISABELLA KIMBERLEY",19715,0,0,0,0,0,0,0,0,,,,0,0
"M24A0097",51980,,"ASHORE/RIVAGE",19714,0,0,0,0,0,0,0,0,,,,0,0
"M24C0058",51979,,"ASHORE/RIVAGE",19745,0,0,0,0,0,0,0,0,,,,0,0
"M24C0057",51978,30779,"C25780ON (MEAFORD)",19730,0,0,0,0,0,0,0,0,,,,0,0
"M24C0057",51978,,"ASHORE/RIVAGE",19729,0,0,0,0,0,0,0,0,,,,0,0
"M24C0056",51977,26389,"ALGOMA STRONGFIELD",19734,0,0,0,0,0,0,0,0,,,,0,0
"M24C0056",51977,,"ASHORE/RIVAGE",19733,0,0,0,0,0,0,0,0,,,,0,0
"M24C0055",51976,,"ASHORE/RIVAGE",19735,0,0,0,0,0,0,0,0,,,,0,0
"M24C0054",51975,28926,"HARVEST SPIRIT",19720,1,0,0,1,0,1,0,0,,,,0,0
"M24C0054",51975,,"ASHORE/RIVAGE",19719,0,0,0,0,0,0,0,0,,,,0,0
"M24C0053",51974,,"ASHORE/RIVAGE",19736,0,0,0,0,0,0,0,0,,,,0,0
"M24C0052",51973,30039,"NUKUMI",19711,1,0,0,1,0,1,0,0,,,,0,0
"M24C0052",51973,,"ASHORE/RIVAGE",19710,0,0,0,0,0,0,0,0,,,,0,0
"M24C0051",51972,30777,"Other - fishing vessel",19718,0,0,0,0,0,0,0,0,,,,0,0
"M24C0051",51972,25806,"SPARTAN",19717,0,0,0,0,0,0,0,0,,,,0,0
"M24C0051",51972,,"ASHORE/RIVAGE",19716,0,0,0,0,0,0,0,0,,,,0,0
"M24A0096",51971,30775,"TAX CREDIT",19722,0,0,0,0,0,0,0,0,,,,0,0
"M24A0096",51971,,"ASHORE/RIVAGE",19721,0,0,0,0,0,0,0,0,,,,0,0
"M24A0095",51970,30317,"BRUCIE J",19709,0,0,0,0,0,0,0,0,,,,0,0
"M24A0095",51970,,"ASHORE/RIVAGE",19708,0,0,0,0,0,0,0,0,,,,0,0
"M24C0049",51968,29157,"L'ELODIE MARCO",19713,0,0,0,0,0,0,0,0,,,,0,0
"M24C0049",51968,,"ASHORE/RIVAGE",19712,0,0,0,0,0,0,0,0,,,,0,0
"M24C0047",51966,20776,"HOWE ISLANDER",19699,0,0,0,0,0,0,0,0,,,,0,0
"M24C0047",51966,,"ASHORE/RIVAGE",19698,0,0,0,0,0,0,0,0,,,,0,0
"M24A0094",51965,30769,"TAKIN CHANCES AGAIN",19688,0,0,0,0,0,0,0,0,,,,0,0
"M24A0094",51965,,"ASHORE/RIVAGE",19687,0,0,0,0,0,0,0,0,,,,0,0
"M24A0093",51964,26843,"MARITIME HARVESTER' 15",19703,0,0,0,0,0,0,0,0,,,,0,0
"M24A0093",51964,,"ASHORE/RIVAGE",19702,0,0,0,0,0,0,0,0,,,,0,0
"M24P0085",51963,30771,"TWIN DOLPHIN",19701,0,0,0,0,0,0,0,0,,,,0,0
"M24P0085",51963,,"ASHORE/RIVAGE",19700,0,0,0,0,0,0,0,0,,,,0,0
"M24P0084",51962,30770,"FIREBOAT 1",19696,1,0,1,0,0,1,0,0,,,,0,0
"M24P0084",51962,,"ASHORE/RIVAGE",19695,0,0,0,0,0,0,0,0,,,,0,0
"M24A0092",51960,30773,"HILARY ROBYN",19705,0,0,0,0,0,0,0,0,,,,0,0
"M24A0092",51960,,"ASHORE/RIVAGE",19704,0,0,0,0,0,0,0,0,,,,0,0
"M24A0091",51959,30774,"FINAL SPLURGE",19707,0,0,0,0,0,0,0,0,,,,0,0
"M24A0091",51959,,"ASHORE/RIVAGE",19706,0,0,0,0,0,0,0,0,,,,0,0
"M24A0090",51958,29614,"JEAN GOODWILL",19682,0,0,0,0,0,0,0,0,,,,0,0
"M24A0090",51958,,"ASHORE/RIVAGE",19681,0,0,0,0,0,0,0,0,,,,0,0
"M24C0046",51957,,"ASHORE/RIVAGE",19697,0,0,0,0,0,0,0,0,,,,0,0
"M24P0082",51956,19495,"NORTH ARM VICTOR",19678,1,0,0,1,0,1,0,0,,,,0,0
"M24P0082",51956,,"ASHORE/RIVAGE",19677,0,0,0,0,0,0,0,0,,,,0,0
"M24A0089",51955,30768,"MISS MADISON ",19690,0,0,0,0,0,0,0,0,,,,0,0
"M24A0089",51955,,"ASHORE/RIVAGE",19689,0,0,0,0,0,0,0,0,,,,0,0
"M24A0088",51954,30767,"D 17",19676,0,0,0,0,0,0,0,0,,,,0,0
"M24A0088",51954,,"ASHORE/RIVAGE",19675,0,0,0,0,0,0,0,0,,,,0,0
"M24C0045",51953,28494,"L'OLIVIER DES MERS",19692,0,0,0,0,0,0,0,0,,,,0,0
"M24C0045",51953,,"ASHORE/RIVAGE",19691,0,0,0,0,0,0,0,0,,,,0,0
"M24A0087",51952,30806,"NO NAME (VRN 94243)",19873,1,0,0,0,2,2,2,1,1,"Lifejacket","Gilet de sauvetage",1,0
"M24A0087",51952,,"ASHORE/RIVAGE",19743,0,0,0,0,0,0,0,0,,,,0,0
"M24C0043",51950,28585,"ROSSI A. DESGAGNES",19684,0,0,0,0,0,0,0,0,,,,0,0
"M24C0043",51950,,"ASHORE/RIVAGE",19683,0,0,0,0,0,0,0,0,,,,0,0
"M24C0042",51949,30763,"C26694ON (TOWARF 3)",19680,0,0,0,0,0,0,0,0,,,,0,0
"M24C0042",51949,,"ASHORE/RIVAGE",19679,0,0,0,0,0,0,0,0,,,,0,0
"M24C0041",51948,29244,"CLAUDE MARTIN ",19672,0,0,0,0,0,0,0,0,,,,0,0
"M24C0041",51948,,"ASHORE/RIVAGE",19671,0,0,0,0,0,0,0,0,,,,0,0
"M24A0086",51947,30766,"ROY'S BOY",19674,0,0,0,0,0,0,0,0,,,,0,0
"M24A0086",51947,,"ASHORE/RIVAGE",19673,0,0,0,0,0,0,0,0,,,,0,0
"M24A0085",51946,30765,"MSC ALDEBARAN III",19668,0,0,0,0,0,0,0,0,,,,0,0
"M24A0085",51946,,"ASHORE/RIVAGE",19667,0,0,0,0,0,0,0,0,,,,0,0
"M24A0084",51945,19941,"PAPA'S LOBSTERS",19670,0,0,0,0,0,0,0,0,,,,0,0
"M24A0084",51945,,"ASHORE/RIVAGE",19669,0,0,0,0,0,0,0,0,,,,0,0
"M24A0083",51944,30762,"KATHY MICHELLE II",19664,0,0,0,0,0,0,0,0,,,,0,0
"M24A0083",51944,,"ASHORE/RIVAGE",19663,0,0,0,0,0,0,0,0,,,,0,0
"M24A0082",51943,30764,"MELANIE'S DREAM",19666,0,0,0,0,0,0,0,0,,,,0,0
"M24A0082",51943,,"ASHORE/RIVAGE",19665,0,0,0,0,0,0,0,0,,,,0,0
"M24C0040",51942,30760,"ZUDAR",19662,0,0,0,0,0,0,0,0,,,,0,0
"M24C0040",51942,,"ASHORE/RIVAGE",19661,0,0,0,0,0,0,0,0,,,,0,0
"M24A0081",51941,30761,"ROGER & KENNA",19660,0,0,0,0,0,0,0,0,,,,0,0
"M24A0081",51941,,"ASHORE/RIVAGE",19659,0,0,0,0,0,0,0,0,,,,0,0
"M24A0080",51940,30758,"MISS DARALYN 2007",19654,0,0,0,0,0,0,0,0,,,,0,0
"M24A0080",51940,,"ASHORE/RIVAGE",19653,0,0,0,0,0,0,0,0,,,,0,0
"M24A0079",51939,30759,"STONEHAVEN COWBOY II",19656,0,0,0,0,0,0,0,0,,,,0,0
"M24A0079",51939,,"ASHORE/RIVAGE",19655,0,0,0,0,0,0,0,0,,,,0,0
"M24A0077",51937,24947,"HINDSIGHT 20/20",19652,0,0,0,0,0,0,0,0,,,,0,0
"M24A0077",51937,,"ASHORE/RIVAGE",19651,0,0,0,0,0,0,0,0,,,,0,0
"M24A0076",51936,29473,"WHITETAIL 15",19650,0,0,0,0,0,0,0,0,,,,0,0
"M24A0076",51936,,"ASHORE/RIVAGE",19649,0,0,0,0,0,0,0,0,,,,0,0
"M24P0081",51935,7655,"CAPTAIN COOK",19658,1,0,1,0,0,1,0,0,,,,0,0
"M24P0081",51935,,"ASHORE/RIVAGE",19657,0,0,0,0,0,0,0,0,,,,0,0
"M24P0080",51934,30757,"CMA CGM HYDRA",19648,0,0,0,0,0,0,0,0,,,,0,0
"M24P0080",51934,,"ASHORE/RIVAGE",19647,0,0,0,0,0,0,0,0,,,,0,0
"M24P0079",51933,19614,"CHARLES H. CATES VIII",19645,0,0,0,0,0,0,0,0,,,,0,0
"M24P0079",51933,,"ASHORE/RIVAGE",19644,0,0,0,0,0,0,0,0,,,,0,0
