API_WELL_NUMBER,BH_ACTV_TYPE_CD,PREV_API_NUMBER,ACTIVITY_DATE,WELL_NAME,WELL_NAME_SUFFIX,SURF_LEASE_NUMBER,SURF_AREA_CODE,SURF_BLOCK_NUMBER,WELL_SPUD_DATE,BOTM_LEASE_NUMBER,BOTM_AREA_CODE,BOTM_BLOCK_NUMBER,BH_TOTAL_MD,REGION_CODE
177094074701,API,177094084401,6/27/1997, G002,ST01BP00,G13622,EI,173,5/19/1997,G13622,EI,173,13308,G
177094082001,API,177094002001,2/29/1996, A001,ST01BP00,G05498,EI,184,12/24/1995,G05498,EI,184,13287,G
177094095271,API,177094092571,11/30/2006, I001,ST00BP01,G01959,EI,258,4/13/1993,G01959,EI,258,11500,G
177094105771,API,177090410571,8/2/2006,  001,ST01BP00,G11953,EI,167,5/2/1995,G11953,EI,167,13729,G
177094110600,API,177096110600,7/3/1996, K005,ST00BP01,G00981,EI,237,9/7/1996,G10741,EI,253,13158,G
177094114602,API,177094114603,12/30/1997,  003,ST02BP00,G09580,EI,87,12/15/1997,G09580,EI,87,15342,G
177094120300,API,177094120301,6/9/1998,  016,ST00BP00, 00049,EI,119,3/14/1998, 00050,EI,120,11238,G
177094138600,API,177104155500,4/10/2003, F013,ST00BP00, 00811,EI,266,5/20/2003, 00811,EI,266,3848,G
177094138700,API,177104155600,4/10/2003, F014,ST00BP00, 00811,EI,266,5/26/2003, 00811,EI,266,1520,G
177094141300,API,177094143000,6/1/2004, R002,ST00BP00, 00051,EI,125,6/1/2004, 00051,EI,125,7675,G
177100003271,API,177100003272,2/15/2013, B004,ST00BP01,G00989,EI,276,8/20/1965,G00989,EI,276,11958,G
177104007301,API,177104007401,9/15/1997, A005,ST01BP02,G02115,EI,330,7/23/1997,G02115,EI,330,7231,G
177104035570,API,177104065570,2/7/2007, A007,ST00BP00,G02319,EI,342,6/21/1974,G02319,EI,342,6852,G
177104051600,API,177104051670,8/24/2009, A005,ST00BP01,G02108,EI,305,6/7/1976,G02108,EI,305,11810,G
177104051600,API,177104051677,8/24/2009, A005,ST00BP01,G02108,EI,305,6/7/1976,G02108,EI,305,11810,G
