RIG_NAME,VESSEL_TYPE,VESSEL_DESIGN,CONSTRUCTION_YEAR,UPGRADE_YEAR,CLASSIFICATION_SOCIETY,MAX_WATER_DEPTH_RATING_FT,MAX_DRILLING_DEPTH_FT,TOTAL_VESSEL_POWER_HP,QUARTERS_CAPACITY,LENGTH_FT,WIDTH_FT,OPERATING_DRAFT_FT,MAX_VARIABLE_LOAD_ST,DERRICK_RATING_KIPS,DRAWWORKS_HP,BOP_OPERATING_PRESSURE_KSI
OCEAN ROVER,SS,Victory,1973,2002,ABS,8000,35000,12940,130,324,327,74.5,5500,2000,4000,15
OCEAN STAR,SS,Victory,1973,1996,ABS,5500,30000,10750,116,335.5,314.67,74,5600,1300,3000,15
BLACKFORD DOLPHIN,SS,Deepwater,,2008,DNV,7000,30000,19300,130,355,276,70,4500,1500,4500,15
ENSCO 5006,SS,Bingo 8000,1999,1999,DNV,7500,25000,12220,120,390,234,78,8322,1600,3000,15
ENSCO 5001,SS,Sonat,1974,1999,ABS,5000,25000,13000,140,378.5,264,75,4100,1500,3000,15
NOBLE AMOS RUNNER,SS,EVA-4000u2122,1982,1999,ABS,8000,32500,12500,122,348.6,328.25,79,4000,1500,3000,15
NOBLE PAUL ROMANO,SS,EVA-4000u2122,1981,1998,ABS,6000,28000,10000,114,348.6,328.25,79,4000,1500,3000,15
NOBLE JIM THOMPSON,SS,EVA-4000u2122,1982,1999,ABS,8000,30000,10000,136,348.6,328.25,75,4000,1500,3000,15
NOBLE MAX SMITH,SS,EVA-4000u2122,1980,1999,ABS,7000,25000,10000,130,348.6,328.25,79,4000,1500,3000,15
NOBLE HOMER FERRINGTON,SS,Enhanced Pacesetter,1984,1999,ABS,7200,25000,10000,150,338.9,225.6,55,4000,1500,3000,15
NOBLE CLYDE BOUDREAUX,SS,Modified Enhanced Pacesetter,1987,2007,ABS,10000,35000,12900,200,318,248,66,5500,2,4000,15
NOBLE LORRIS BOUZIGARD,SS,Pentagon-85,1975,2003,ABS,4000,25000,8400,120,324,338,71.5,2400,1150,3000,10
NOBLE THERALD MARTIN,SS,Pentagon,1975,2003,ABS,4000,25000,8400,120,324,338,71.5,2315,1100,3000,10
NOBLE DRILLER,,Aker H-3 Semi (Enhanced),1975,2009,DNV,5000,35000,15000,120,355,241,70,3715,1600,3000,10
DEEPWATER NAUTILUS,SS,RBS-8M,1999,,ABS,8000,30000,25200,150,392,308,75.5,9701,2500,8400,15
TRANSOCEAN MARIANAS,SS,Sedco 700 Series,1979,1998,ABS,7000,25000,23550,146,315,249,81,3967,1500,3000,15
GSF CELTIC SEA,SS,F&G L907 Enhanced Pacesetter,1982,1998,ABS,5750,28000,19000,140,320,285,68.6,5600,1600,3000,15
JACK BATES,SS,F&G L1020 Trendsetter,1986,1997,ABS,5400,30000,20000,118,370,255,80,6736,2000,3000,15
"M.G. HULME, JR",SS,F&G 9500 Enhanced Pacesetter,1983,1996,ABS,5000,25000,7800,140,296,228,60,4480,1393,3000,15
TRANSOCEAN RICHARDSON,SS,GVA 4500,1988,,DNV,5000,25000,18180,138,325,286,82,4188,1500,3000,15
HENRY GOODRICH,SS,Sonat/Mitsui SES-5000,1985,2007,DNV,5000,30000,22528,145,320,251,93,5512,1500,3000,15
JIM CUNNINGHAM,SS F&G 9500,Enhanced Pacesetter,1982,1995,ABS,4600,25000,8800,120,296,228,65,4972,1392,3000,15
TRANSOCEAN LEADER,SS,Aker H-4.2,1987,1997,DNV,4500,25000,17760,110,360,240,77,5071,1500,3000,15
