source_project_key,locator_json,locator_sha256,source_row_sha256,active
src-prj-4da5d59ffaba4a76a323ef209a8cbef6,"{""PROJECT"":""Leviathan Phase 1""}",d83729d0f9717e799cb0d64f1e8677fcad23598876575b61e8c84ba1a882aab6,eb554d61b233d1638e20ff0d1156fd69a4bfd65ea1a92f91e316d6e7a738b92d,true
src-prj-6b99f18e00b84a12ab5831e625c6c13b,"{""PROJECT"":""Liza Phase 1""}",dce2bfa249ff8b1e197ab0d92336136bd32498600e67beba7122238b809907a5,06342433062e31971cb6dae0dde4f175bb4a29cd48d93a8491206cbefac46b47,true
src-prj-948ed17b540749f399d74a2e3536d088,"{""PROJECT"":""Liza Phase 2""}",d795f98133e82c98783b314aaa0c77e61b82cdd8efd1c045bfa210d8631cf125,a405b78233c2250fc820579270d9195321e61763e3d1b6453826a9ec0c080eff,true
src-prj-3b068995682140b38b8f4128f371d4a0,"{""PROJECT"":""Mad Dog Phase 2 (Argos)""}",56a65dd7a813d9842aec8b523e087a1565d7878440e4c18bc43ff98fa78d619f,1557188123d1d5c86f869bcad8e2251aca9cdeebe3b01557482239a098ca847c,true
src-prj-657584ff78984dc6a0ad8ff707f69e77,"{""PROJECT"":""Mafumeira Sul""}",7d9b2b69a2340b2356478b29554c4a43a1fee32d06ae8146ca642207af5861aa,8ef943c6447f1c26b30b25ad33c08c7e18454c73e06185c00dacde999852b4c4,true
src-prj-a35386d5e4e54720abb5bb21bf9a0081,"{""PROJECT"":""Mariner""}",a917fafe950a48f8273e948719ab148636a1ed325541f9b9f98b599d31d55523,c40576f96e25ae72aec6dc469e732435ee6f7683c800bcd615ae8bf8720a3ecb,true
src-prj-ad68a4531dbe4297b53a04c4db7d9f07,"{""PROJECT"":""Maromba""}",fea6bf1464c0fa4f6066130ee9a9e7fcf62ec7e4e29ee9a82a030e4c53d2a973,9c80243dd8de377d7d552a7806fe9d05fc7866a08436e216ca31d32d3f918bc3,true
src-prj-37b0c0296493476cb4a425e6569d0a7a,"{""PROJECT"":""Martin Linge (ex-Hild)""}",617e9d5015fd29f50047561ebf597494208e02825d42190f09519190bc7c27a1,5dc0a17a993881ee12b02c239633287ef14f5d12a7cdc334b92b270ee863efcf,true
src-prj-7b916e896fbe469494de7f4f939f3e02,"{""PROJECT"":""Moho Nord (incl. Phase 1bis)""}",1d34f96e1f57c1b5317151487555d95699bed211757852c9626e35049dbb4094,6af879cfdd666de94a8e97007e6a7d9c51ea96a931df466d7714a93226983ec8,true
src-prj-04fa2e90c1d74dd29882861580a75359,"{""PROJECT"":""Mozambique LNG (Area 1)""}",e0316361636f1bbf19a7248758d29b02eb44cb93a918178ea9797ef99672f598,1b9803e656d184bcf8dbf6d460dc0ebbf62fe1b7fa945d945fd2191cd0ec94fd,true
src-prj-343c207038c9493494195d26f6b945c9,"{""PROJECT"":""North Field East (NFE)""}",85d4bfd54c494cfe37d9a05f9f6c05e961af03c059247b584ae56af77a2a126f,2e198a81aae7e6be1ccc9a6d19f41312cffe5b5cb22544a549b4e9c58ead6648,true
