award_id,source_award_key,project_id,display_label,state,active,aliases_json,validation_group_id,created_source_sha256,migration_note,no_reuse
awd-e883e501f464455096e56cfb8960aabb,src-awd-02368b2959d84e65927d6dd57508b5e0,prj-8bcff3ed14fb41dfb24dfa0307cf7ab2,Hammerhead / 2025 / MODEC,active,true,[],vg-prj-d94d9d92e7f746f298cbfd04f73f6503,452ecfb2272a35811f9a1533d8bc9f1a7afa6d4a95571c94e9657a983feafa08,,true
awd-6d3861b4fc0c4d319bb9ab316e8e61ab,src-awd-1bb5322e3ff5489abdf41730897d16d4,prj-1b90f68986ef400dbc2fbc693cd24491,Martin Linge (ex-Hild) / 2012 / Technip + Samsung consortium,active,true,[],vg-prj-356e458d4f004b79a23ecedd29aa671a,db682e6288f88f4260b3e2f08243e5ac6b61d43b380de08a4a8573460da88449,,true
awd-79840479c92a498bbcfb043dfa2c85bb,src-awd-d13f3714c13844d29a91f51f27c348e2,prj-1b90f68986ef400dbc2fbc693cd24491,Martin Linge (ex-Hild) / 2012 / Kvaerner,active,true,[],vg-prj-356e458d4f004b79a23ecedd29aa671a,d807ef9f00ca700c5a2b21acc7a909ad091fe7502ddfaf5bc3cb9065c9b39f92,,true
awd-c4987fd8cf164d98854fdfbf6f06bd12,src-awd-8e4332a2f22842a7ba458861dafb5e0d,prj-1b90f68986ef400dbc2fbc693cd24491,Martin Linge (ex-Hild) / 2012 / Subsea 7,active,true,[],vg-prj-356e458d4f004b79a23ecedd29aa671a,41803a5c1ed757ff6e7aca551656c651d63b77bc900ac677ebfca63058a966fd,,true
awd-4faf3d882198493f8c5958d383e1e5c0,src-awd-232aec118ef2446bb6d6f7c8053fcdfa,prj-1b90f68986ef400dbc2fbc693cd24491,Martin Linge (ex-Hild) / 2012 / Maersk Drilling (Intrepid jack-up),active,true,[],vg-prj-356e458d4f004b79a23ecedd29aa671a,6d3a2bcd95bc21f1a16721d34026ae1ea160b1ce440b55f7466f1f8edee962fd,,true
awd-b4bbe66052b44e39bb2a9a10f90aa766,src-awd-3dace4fef833450abbe9d6797ced395b,prj-5748c85119e44a6a85c422d5d1b71c25,Mariner / 2013 / Subsea 7,active,true,[],vg-prj-d91b5c46e6b84598b44d990b5c6913ab,7ed8ce8bd209ea1478c543d88b62284f7a81f47f394a910bf8e7ff9b4064a911,,true
awd-c8c32f5349a544cea12bcef097aba457,src-awd-91939101ebd34faba71d4a85fefdf39f,prj-5748c85119e44a6a85c422d5d1b71c25,Mariner / 2013 / Noble Corporation (Lloyd Noble CJ70 jack-up),active,true,[],vg-prj-d91b5c46e6b84598b44d990b5c6913ab,9cb22a72f4b0cd0cb612cdb6f307bf3c8ab2f5bcdc41692a2a100a759be7ab3b,,true
awd-8ab54eec43ab4084bf0591ba58b37491,src-awd-8eea4b6e850c47488ab90b7dc96bea1e,prj-5748c85119e44a6a85c422d5d1b71c25,Mariner / 2013 / Odfjell Drilling,active,true,[],vg-prj-d91b5c46e6b84598b44d990b5c6913ab,ec42cb065633419133fab1739c9281ea4921c79647b30b1f7afef65bbece659a,,true
awd-e908dfb2abc34f85b6bcbc361140bf53,src-awd-6cd3b3df43c4487f80606fe349f60056,prj-5748c85119e44a6a85c422d5d1b71c25,Mariner / 2012 / Daewoo (DSME),active,true,[],vg-prj-d91b5c46e6b84598b44d990b5c6913ab,b22a3b4773f5e9be20a3e64412e0759745829dd70bd45e15c4ec2faa480a150f,,true
awd-6164129d8f37464492c0b673ce3bce96,src-awd-8aac4b6594bc43219489c590155bc102,prj-0aa08a802d274708b7a0dbc99f7554a4,Culzean / 2015 / Sembcorp Marine (SMOE),active,true,[],vg-prj-4ccd8e0e190a403ca47422eba17cc231,784a859cd62a2d6ce03fc295810eb097546d1e9afe102dcf1f5aa471f6bfa7d1,,true
